Breed,Weight_kg,Age_years,RBC,Hb,WBC,Platelets,Glucose,Creatinine,ALT,MCV,MCH,MCHC,MedicalHistory,Vd,ke,CL,fi,D_eff,Xylazine_Dose_mg_per_kg,Safe_Unsafe
Bulldog,17.7256,4.4191,5.1,10.663,7.664,290.2,98.2,1.102,42.4,70.435,19.5244,29.167,Allergies,2.244,0.0217,0.0487,0.5564,0.1442,0.454,1
German Shepherd,28.2,6.3,4.873,12.569,7.181,226.9,68.7,1.075,55.9,86.27,26.38,30.7,Not vaccinated,2.065,0.0222,0.0458,0.53,0.2421,0.696,0
Bulldog,23.2637,11.3435,6.045,15.221,6.109,232.0,84.0,1.176,41.3,89.8435,21.0514,30.6109,Recent surgery,2.102,0.0198,0.0416,0.5177,0.1874,0.561,1
Yorkshire Terrier,7.3,4.1,5.183,12.736,12.171,206.9,104.7,1.361,54.1,91.06,23.19,31.38,Chronic illness,1.899,0.0194,0.0368,0.5305,0.1824,0.555,1
Mixed Breed,24.905,3.6682,6.442,15.709,9.428,219.0,107.5,2.113,74.8,73.1928,27.5113,31.5079,Previous kidney disease,2.035,0.0191,0.0389,0.5155,0.1834,0.566,0
Beagle,21.6,1.8,6.305,16.515,7.925,113.9,86.1,1.772,77.6,92.74,24.77,34.61,Chronic illness,2.033,0.0223,0.0453,0.5258,0.2129,0.615,0
Mixed Breed,12.9,9.4,6.203,17.398,11.924,294.9,78.9,1.708,37.8,83.46,23.6,35.95,Previous kidney disease,2.004,0.0174,0.0349,0.5246,0.1424,0.422,0
Boxer,14.9815,0.5171,6.315,11.335,16.311,391.5,95.9,0.953,53.7,69.4921,26.151,28.0138,Allergies,1.957,0.0229,0.0448,0.5395,0.1906,0.596,1
Poodle,8.7,1.4,4.05,9.988,6.33,534.6,101.4,0.404,57.4,78.34,24.99,31.4,Dental issues,1.933,0.0211,0.0408,0.5336,0.1776,0.529,1
Mixed Breed,18.0206,14.0803,6.474,15.188,3.506,155.3,95.7,1.143,48.6,97.7992,22.9222,31.2509,Recent surgery,2.007,0.0189,0.0379,0.5157,0.1511,0.454,0
Poodle,3.6822,0.8806,6.18,13.105,9.538,229.3,60.3,1.022,75.6,84.033,24.0133,30.6725,Recent surgery,1.949,0.0184,0.0359,0.5258,0.1762,0.526,0
German Shepherd,27.5,8.5,3.5,11.746,6.727,100.0,94.6,1.167,35.1,106.18,19.33,32.0,Vaccinated,1.983,0.0216,0.0428,0.5314,0.1789,0.516,1
Poodle,8.5,8.2,4.605,13.807,8.465,348.7,108.2,0.851,62.5,91.87,23.25,32.98,Allergies,1.902,0.0213,0.0405,0.5293,0.1989,0.587,1
Labrador Retriever,33.262,2.8647,6.449,15.726,13.928,291.1,89.8,1.238,32.9,75.243,25.0871,32.6764,Previous heart condition,1.992,0.0224,0.0446,0.5325,0.2021,0.571,1
